tabela_monitorada,nome_do_gatilho,evento_disparador,acao_executada
app_settings,set_app_settings_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
campaign_bosses,set_campaign_bosses_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
card_effects,set_card_effects_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
card_sets,set_card_sets_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
cards,set_cards_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
decks,set_decks_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
match_actions,match_actions_bridge_effects,INSERT,EXECUTE FUNCTION game_private.bridge_match_action_effects()
match_actions,match_actions_consume_runtime_effects,INSERT,EXECUTE FUNCTION game_private.consume_turn_runtime_effects()
match_actions,match_actions_enrich_card_metadata_v14,INSERT,EXECUTE FUNCTION game_private.enrich_action_card_metadata_v14()
match_actions,match_actions_enrich_effect_showcase_v9,INSERT,EXECUTE FUNCTION game_private.enrich_effect_showcase_v9()
match_actions,match_actions_enrich_effect_zone_v12,INSERT,EXECUTE FUNCTION game_private.enrich_effect_source_zone_v12()
match_actions,match_actions_fairy_turn_draw_v25,INSERT,EXECUTE FUNCTION game_private.consume_fairy_turn_draw_v25()
match_actions,match_actions_freeze_combat_v7,INSERT,EXECUTE FUNCTION game_private.freeze_combat_action_v7()
match_actions,match_actions_freeze_combat_v7,UPDATE,EXECUTE FUNCTION game_private.freeze_combat_action_v7()
match_actions,match_actions_publish_safe_feed,UPDATE,EXECUTE FUNCTION game_private.publish_match_action()
match_actions,match_actions_publish_safe_feed,INSERT,EXECUTE FUNCTION game_private.publish_match_action()
match_actions,match_actions_sync_anabelle_v20,INSERT,EXECUTE FUNCTION game_private.sync_anabelle_hand_snapshots_v20()
match_actions,match_actions_v10_attack_followups,INSERT,EXECUTE FUNCTION game_private.resolve_v10_attack_followups()
match_actions,zz_match_actions_redact_hidden_reinforcement_v15,INSERT,EXECUTE FUNCTION game_private.redact_hidden_reinforcement_action_v15()
match_cards,match_cards_activate_duny_v25,UPDATE,EXECUTE FUNCTION game_private.activate_duny_life_lock_v25()
match_cards,match_cards_common_movement_guard,UPDATE,EXECUTE FUNCTION game_private.guard_common_card_movement()
match_cards,match_cards_consume_v10_transition_effects,UPDATE,EXECUTE FUNCTION game_private.consume_v10_card_transition_effects()
match_cards,match_cards_guard_javali_play_v25,UPDATE,EXECUTE FUNCTION game_private.guard_javali_play_v25()
match_cards,match_cards_queue_effect_events,UPDATE,EXECUTE FUNCTION game_private.queue_card_zone_events()
match_cards,match_cards_restore_henselt_power_v25,UPDATE,EXECUTE FUNCTION game_private.restore_henselt_power_v25()
match_cards,match_cards_sync_dynamic_mana,UPDATE,EXECUTE FUNCTION game_private.sync_mana_after_card_movement()
match_cards,set_match_cards_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
match_effect_events,match_effect_events_process_v11,INSERT,EXECUTE FUNCTION game_private.process_inserted_effect_event_v11()
match_effect_uses,validate_match_effect_use_trigger,INSERT,EXECUTE FUNCTION game_private.validate_match_effect_use()
match_public_states,set_match_public_states_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
match_runtime_effects,match_runtime_effects_consume_v10,INSERT,EXECUTE FUNCTION game_private.consume_v10_runtime_insert()
match_runtime_effects,match_runtime_effects_reynold_attack_v20,INSERT,EXECUTE FUNCTION game_private.resolve_reynold_forced_attack_v20()
matches,draw_first_turn_card_trigger,UPDATE,EXECUTE FUNCTION game_private.draw_first_turn_card()
matches,matches_enable_draw_from_turn_two_v12,UPDATE,EXECUTE FUNCTION game_private.enable_draw_from_turn_two_v12()
matches,matches_require_standard_ban,UPDATE,EXECUTE FUNCTION game_private.require_standard_match_ban()
matches,matches_require_standard_ban,INSERT,EXECUTE FUNCTION game_private.require_standard_match_ban()
matches,matches_set_turn_deadline,INSERT,EXECUTE FUNCTION game_private.set_turn_deadline()
matches,matches_set_turn_deadline,UPDATE,EXECUTE FUNCTION game_private.set_turn_deadline()
matches,matches_sync_engine_state,UPDATE,EXECUTE FUNCTION game_private.sync_engine_state_from_match()
matches,matches_sync_engine_state,INSERT,EXECUTE FUNCTION game_private.sync_engine_state_from_match()
matches,set_matches_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
pack_types,set_pack_types_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
pending_attack_cards,pending_attack_cards_common_rules,INSERT,EXECUTE FUNCTION game_private.enforce_common_attack_rules()
pending_attacks,pending_attacks_capture_resolved_board_v5,UPDATE,EXECUTE FUNCTION game_private.capture_resolved_board_v5()
pending_attacks,pending_attacks_freeze_combat_v7,UPDATE,EXECUTE FUNCTION game_private.freeze_pending_combat_v7()
pending_attacks,pending_attacks_reaction_deadline_v5,INSERT,EXECUTE FUNCTION game_private.enforce_reaction_deadline_v5()
pending_attacks,pending_attacks_sync_engine_state,INSERT,EXECUTE FUNCTION game_private.sync_engine_state_from_attack()
pending_attacks,pending_attacks_sync_engine_state,DELETE,EXECUTE FUNCTION game_private.sync_engine_state_from_attack()
pending_attacks,pending_attacks_sync_engine_state,UPDATE,EXECUTE FUNCTION game_private.sync_engine_state_from_attack()
pending_card_triggers,pending_card_triggers_sync_engine_state,UPDATE,EXECUTE FUNCTION game_private.sync_engine_state_from_card_trigger()
pending_card_triggers,pending_card_triggers_sync_engine_state,INSERT,EXECUTE FUNCTION game_private.sync_engine_state_from_card_trigger()
pending_card_triggers,pending_card_triggers_sync_engine_state,DELETE,EXECUTE FUNCTION game_private.sync_engine_state_from_card_trigger()
player_stats,set_player_stats_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
player_wallets,set_player_wallets_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
profiles,set_profiles_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
story_chapters,set_story_chapters_updated_at,UPDATE,EXECUTE FUNCTION set_updated_at()
