nome_carta,raridade,codigo_efeito,status_no_servidor
Berseker,common,COMMON_013,🟢 CODIFICADA E CONECTADA NO MOTOR
Cão Selvagem,common,COMMON_056,🟢 CODIFICADA E CONECTADA NO MOTOR
Dijkistra,common,COMMON_001,🟢 CODIFICADA E CONECTADA NO MOTOR
Duny,common,COMMON_002,🟢 CODIFICADA E CONECTADA NO MOTOR
Filho da Puta Junior,common,COMMON_000,🟢 CODIFICADA E CONECTADA NO MOTOR
Harpia,common,COMMON_057,🟢 CODIFICADA E CONECTADA NO MOTOR
Javali,common,COMMON_003,🟢 CODIFICADA E CONECTADA NO MOTOR
Skjall,common,COMMON_066,🟢 CODIFICADA E CONECTADA NO MOTOR
Ves,common,COMMON_048,🟢 CODIFICADA E CONECTADA NO MOTOR
Baldur de Lyria,epic,EPIC_013,🟢 CODIFICADA E CONECTADA NO MOTOR
Celenia Vorgues a Elfa,epic,EPIC_030,🟢 CODIFICADA E CONECTADA NO MOTOR
Chorabash,epic,EPIC_020,🟢 CODIFICADA E CONECTADA NO MOTOR
Conjunção de Esferas,epic,EPIC_023,🟢 CODIFICADA E CONECTADA NO MOTOR
Darko o Elfo,epic,EPIC_019,🟢 CODIFICADA E CONECTADA NO MOTOR
Djinn,epic,EPIC_001,🟢 CODIFICADA E CONECTADA NO MOTOR
Ekimmu,epic,EPIC_003,🟢 CODIFICADA E CONECTADA NO MOTOR
Feiticeira Annie,epic,EPIC_006,🟢 CODIFICADA E CONECTADA NO MOTOR
Feiticeira Eliah,epic,EPIC_005,🟢 CODIFICADA E CONECTADA NO MOTOR
Feiticeira Helena,epic,EPIC_027,🟢 CODIFICADA E CONECTADA NO MOTOR
Fetulho,epic,EPIC_032,🟢 CODIFICADA E CONECTADA NO MOTOR
Gigante de Gelo,epic,EPIC_018,🟢 CODIFICADA E CONECTADA NO MOTOR
Hym,epic,EPIC_024,🟢 CODIFICADA E CONECTADA NO MOTOR
Kalemir da Escola do Lobo,epic,EPIC_028,🟢 CODIFICADA E CONECTADA NO MOTOR
Katakan,epic,EPIC_012,🟢 CODIFICADA E CONECTADA NO MOTOR
Lambert,epic,EPIC_016,🟢 CODIFICADA E CONECTADA NO MOTOR
Letho,epic,EPIC_011,🟢 CODIFICADA E CONECTADA NO MOTOR
Liche,epic,EPIC_025,🟢 CODIFICADA E CONECTADA NO MOTOR
Liche Ancião,epic,EPIC_004,🟢 CODIFICADA E CONECTADA NO MOTOR
